datetime_local,pm25,precipitation
2026-02-06 01:00:00+07:00,17.067166678110762,0.0
2026-02-06 02:00:00+07:00,13.058500003814698,0.0
2026-02-06 03:00:00+07:00,13.322166665395102,0.0
2026-02-06 04:00:00+07:00,16.993833319346113,0.0
2026-02-06 05:00:00+07:00,19.7971666653951,0.0
2026-02-06 06:00:00+07:00,26.256166680653887,0.0
2026-02-06 07:00:00+07:00,35.419000021616625,0.0
2026-02-06 08:00:00+07:00,36.23850021362305,0.0
2026-02-06 09:00:00+07:00,32.032999960581456,0.0
2026-02-06 10:00:00+07:00,36.26149975458781,0.0
2026-02-06 11:00:00+07:00,45.86399993896484,0.1
2026-02-06 12:00:00+07:00,48.56399993896485,0.1
2026-02-06 13:00:00+07:00,35.36949996948242,0.5
2026-02-06 14:00:00+07:00,32.67466669082641,0.4
2026-02-06 15:00:00+07:00,31.849499861399327,0.1
2026-02-06 16:00:00+07:00,31.697666613260907,0.0
2026-02-06 17:00:00+07:00,27.371499983469647,0.0
2026-02-06 18:00:00+07:00,23.399499988555903,0.0
2026-02-06 19:00:00+07:00,20.20016663869222,0.0
2026-02-06 20:00:00+07:00,18.32749999364217,0.0
2026-02-06 21:00:00+07:00,16.008666674296062,0.0
2026-02-06 22:00:00+07:00,13.59466667175293,0.0
2026-02-06 23:00:00+07:00,16.167000007629394,0.0
2026-02-07 00:00:00+07:00,13.972666676839191,0.0
2026-02-07 01:00:00+07:00,11.096999994913736,0.0
2026-02-07 02:00:00+07:00,11.1693333307902,0.0
2026-02-07 03:00:00+07:00,12.047500006357827,0.0
2026-02-07 04:00:00+07:00,11.963833332061768,0.0
2026-02-07 05:00:00+07:00,14.747333335876467,0.0
2026-02-07 06:00:00+07:00,22.36183338165283,0.0
2026-02-07 07:00:00+07:00,25.99750006993612,0.0
2026-02-07 08:00:00+07:00,24.636333370208742,0.0
2026-02-07 09:00:00+07:00,31.55349985758464,0.0
2026-02-07 10:00:00+07:00,32.050000031789146,0.0
2026-02-07 11:00:00+07:00,30.144333362579346,0.0
2026-02-07 12:00:00+07:00,36.99716663360595,0.0
2026-02-07 13:00:00+07:00,34.29466641743978,0.0
2026-02-07 14:00:00+07:00,34.40550003051758,0.0
2026-02-07 15:00:00+07:00,38.953583272298175,0.0
2026-02-07 16:00:00+07:00,38.37483342488606,0.0
2026-02-07 17:00:00+07:00,34.177666727701826,0.0
2026-02-07 18:00:00+07:00,31.16416660944621,0.0
2026-02-07 19:00:00+07:00,24.60833333333333,0.0
2026-02-07 20:00:00+07:00,27.25516665776571,0.0
2026-02-07 21:00:00+07:00,32.57016639709473,0.0
2026-02-07 22:00:00+07:00,33.59483308792114,0.0
2026-02-07 23:00:00+07:00,34.22266651789348,0.0
2026-02-08 00:00:00+07:00,28.51916672388712,0.0
2026-02-08 01:00:00+07:00,22.725,0.0
2026-02-08 02:00:00+07:00,20.0113333384196,0.0
2026-02-08 03:00:00+07:00,18.2028333346049,0.0
2026-02-08 04:00:00+07:00,19.975666681925453,0.0
2026-02-08 05:00:00+07:00,28.90816669464111,0.0
2026-02-08 06:00:00+07:00,31.258833217620847,0.0
2026-02-08 07:00:00+07:00,34.38616654078166,0.0
2026-02-08 08:00:00+07:00,38.66100006103516,0.0
2026-02-08 09:00:00+07:00,45.055833180745445,0.1
2026-02-08 10:00:00+07:00,48.14166666666667,0.0
2026-02-08 11:00:00+07:00,46.45566660563151,0.0
2026-02-08 12:00:00+07:00,46.127666727701815,0.0
2026-02-08 13:00:00+07:00,47.3356669108073,0.0
2026-02-08 14:00:00+07:00,42.90849990844726,0.0
2026-02-08 15:00:00+07:00,37.2979995727539,0.0
2026-02-08 16:00:00+07:00,42.40283330281575,0.0
2026-02-08 17:00:00+07:00,45.9056666056315,0.0
2026-02-08 18:00:00+07:00,39.95000000000001,0.0
2026-02-08 19:00:00+07:00,35.43283357620239,0.0
2026-02-08 20:00:00+07:00,31.917000071207685,0.0
2026-02-08 21:00:00+07:00,25.90316673914592,0.0
2026-02-08 22:00:00+07:00,25.81666663487752,0.0
2026-02-08 23:00:00+07:00,22.96116666793823,0.0
2026-02-09 00:00:00+07:00,29.116999944051106,0.0
